medaltblxtra.country,medaltblxtra.bronze_cnt,medaltblxtra.silver_cnt,medaltblxtra.gold_cnt,medaltblxtra.ling_fract,medaltblxtra.relig_fract,medaltblxtra.ethnic_fract
Afghanistan,0,0,0,0.614099979401,0.271699994802,0.769299983978
Albania,0,0,0,0.0399000011384,0.471899986267,0.220400005579
Andorra,0,0,0,0.684800028801,0.232600003481,0.713900029659
Argentina,0,21,1,0.0617999993265,0.223600000143,0.254999995232
Armenia,0,1,3,0.129099994898,0.45759999752,0.127200007439
Australia,25,23,30,0.334899991751,0.821099996567,0.0929000005126
Australia,25,23,34,0.334899991751,0.821099996567,0.0929000005126
Austria,2,0,0,0.152199998498,0.414600014687,0.106799997389
Azerbaijan,10,1,7,0.205400004983,0.489899992943,0.204699993134
Azerbaijan,10,1,7,0.205400004983,0.489899992943,0.204699993134
Belarus,7,1,4,0.466600000858,0.611599981785,0.322200000286
Belarus,7,1,4,0.466600000858,0.611599981785,0.322200000286
Belgium,2,2,17,0.540899991989,0.212699994445,0.555400013924
Belgium,2,2,17,0.540899991989,0.212699994445,0.555400013924
Benin,0,0,0,0.790499985218,0.554400026798,0.78719997406
Bolivia,0,0,0,0.224000006914,0.208499997854,0.739600002766
Brazil,6,37,6,0.0467999987304,0.605400025845,0.540799975395
Brazil,6,37,8,0.0467999987304,0.605400025845,0.540799975395
Burundi,0,0,1,0.297699987888,0.515799999237,0.295100003481
Cameroon,0,0,0,0.889800012112,0.733799993992,0.863499999046
Canada,61,4,4,0.577199995518,0.69580000639,0.712400019169
Canada,61,4,4,0.577199995518,0.69580000639,0.712400019169
China,37,38,26,0.132699996233,0.664300024509,0.15379999578
China,37,46,30,0.132699996233,0.664300024509,0.15379999578
Colombia,3,3,2,0.0193000007421,0.147799998522,0.601400017738
Colombia,3,3,2,0.0193000007421,0.147799998522,0.601400017738
Comoros,0,0,0,0.0103000001982,0.0137000000104,0.0
Cuba,4,5,2,0.0,0.505900025368,0.590799987316
Cuba,4,5,2,0.0,0.505900025368,0.590799987316
Cyprus,0,0,0,0.39620000124,0.39620000124,0.0939000025392
Djibouti,0,0,0,0.655799984932,0.0434999987483,0.796199977398
Dominica,0,0,0,0.0,0.462799996138,0.200299993157
Ecuador,0,0,0,0.130799993873,0.141699999571,0.65499997139
Egypt,3,0,0,0.0237000007182,0.197899997234,0.183599993587
Eritrea,0,0,0,0.652999997139,0.425300002098,0.652400016785
