country,bronze_cnt,silver_cnt,gold_cnt
AUS,25,30,23
AZE,10,7,1
BEL,2,17,2
BLR,7,4,1
BRA,6,6,37
CAN,61,4,4
CHN,37,26,38
COL,3,2,3
CRO,2,15,7
CUB,4,2,5
CZE,12,2,1
DEN,16,10,15
ESP,17,19,9
ETH,5,2,1
FRA,21,52,20
GBR,26,47,55
GEO,4,1,2
GER,67,40,43
GRE,3,1,3
HUN,7,3,4
IRI,4,1,3
ITA,24,40,6
JAM,2,17,6
JPN,35,13,15
KAZ,9,5,3
KEN,1,6,6
KOR,10,3,9
NED,13,25,9
NZL,5,25,6
POL,10,3,3
PRK,2,3,2
ROU,11,2,4
RSA,14,5,2
RUS,34,23,46
SLO,1,2,1
SRB,13,26,14
SUI,2,3,6
SWE,3,23,2
THA,2,2,2
TUR,4,3,1
UKR,5,8,2
USA,71,46,107
UZB,7,2,4
AFG,0,0,0
ALB,0,0,0
ALG,0,2,0
AND,0,0,0
ANG,0,0,0
ANT,0,0,0
ARG,0,1,21
ARM,0,3,1
ARU,0,0,0
ASA,0,0,0
AUS,25,34,23
AUT,2,0,0
AZE,10,7,1
BAH,5,0,1
BAN,0,0,0
BAR,0,0,0
BDI,0,1,0
BEL,2,17,2
BEN,0,0,0
BER,0,0,0
BHU,0,0,0
BIH,0,0,0
BIZ,0,0,0
BLR,7,4,1
BOL,0,0,0
BOT,0,0,0
BRA,6,8,37
BRN,0,1,1
BRU,0,0,0
BUL,6,1,0
BUR,0,0,0
CAF,0,0,0
CAM,0,0,0
CAN,61,4,4
CAY,0,0,0
CGO,0,0,0
CHA,0,0,0
CHI,0,0,0
CHN,37,30,46
CIV,1,0,1
CMR,0,0,0
COD,0,0,0
COK,0,0,0
COL,3,2,3
COM,0,0,0
CPV,0,0,0
CRC,0,0,0
CRO,2,15,7
CUB,4,2,5
CYP,0,0,0
CZE,12,2,1
DEN,16,10,15
DJI,0,0,0
DMA,0,0,0
DOM,1,0,0
ECU,0,0,0
EGY,3,0,0
ERI,0,0,0
ESA,0,0,0
ESP,17,19,9
EST,4,0,0
ETH,5,2,1
FIJ,0,0,13
FIN,1,0,0
FRA,21,54,20
FSM,0,0,0
GAB,0,0,0
GAM,0,0,0
GBR,26,55,64
GBS,0,0,0
GEO,4,1,2
GEQ,0,0,0
GER,67,44,49
GHA,0,0,0
GRE,3,1,3
GRN,0,1,0
GUA,0,0,0
GUI,0,0,0
GUM,0,0,0
GUY,0,0,0
HAI,0,0,0
HKG,0,0,0
HON,0,0,0
HUN,7,3,12
INA,0,2,2
IND,1,1,0
IOA,1,0,1
IRI,4,1,3
IRL,0,3,0
IRQ,0,0,0
ISL,0,0,0
ISR,2,0,0
ISV,0,0,0
ITA,24,40,8
IVB,0,0,0
JAM,2,17,11
JOR,0,0,1
JPN,35,13,17
KAZ,9,5,3
KEN,1,6,6
KGZ,0,0,0
KIR,0,0,0
KOR,10,3,13
KOS,0,0,1
KSA,0,0,0
LAO,0,0,0
LAT,0,0,0
LBA,0,0,0
LBR,0,0,0
LCA,0,0,0
LES,0,0,0
LIB,0,0,0
LIE,0,0,0
LTU,5,2,0
LUX,0,0,0
MAD,0,0,0
MAR,1,0,0
MAS,1,7,0
MAW,0,0,0
MDA,1,0,0
MDV,0,0,0
MEX,2,3,0
MGL,1,1,0
MHL,0,0,0
MKD,0,0,0
MLI,0,0,0
MLT,0,0,0
MNE,0,0,0
MON,0,0,0
MOZ,0,0,0
MRI,0,0,0
MTN,0,0,0
MYA,0,0,0
NAM,0,0,0
NCA,0,0,0
NED,13,25,9
NEP,0,0,0
NGR,18,0,0
NIG,0,1,0
NOR,19,0,0
NRU,0,0,0
NZL,5,25,6
OMA,0,0,0
PAK,0,0,0
PAN,0,0,0
PAR,0,0,0
PER,0,0,0
PHI,0,1,0
PLE,0,0,0
PLW,0,0,0
PNG,0,0,0
POL,10,3,3
POR,1,0,0
PRK,2,3,2
PUR,0,0,1
QAT,0,1,0
ROT,0,0,0
ROU,11,2,4
RSA,14,7,2
RUS,34,29,52
RWA,0,0,0
"Reilly""",0,0,NULL
SAM,0,0,0
SEN,0,0,0
SEY,0,0,0
SIN,0,0,1
SKN,0,0,0
SLE,0,0,0
SLO,1,2,1
SMR,0,0,0
SOL,0,0,0
SOM,0,0,0
SRB,13,26,14
SRI,0,0,0
SSD,0,0,0
STP,0,0,0
SUD,0,0,0
SUI,2,3,6
SUR,0,0,0
SVK,0,5,3
SWE,3,23,2
SWZ,0,0,0
SYR,0,0,0
TAN,0,0,0
TGA,0,0,0
THA,2,2,2
TJK,0,0,1
TKM,0,0,0
TLS,0,0,0
TOG,0,0,0
TPE,4,0,1
TTO,1,0,0
TUN,3,0,0
TUR,4,3,1
TUV,0,0,0
UAE,1,0,0
UGA,0,0,0
UKR,5,8,2
URU,0,0,0
USA,71,54,139
UZB,7,2,4
VAN,0,0,0
VEN,2,1,0
VIE,0,1,1
VIN,0,0,0
YEM,0,0,0
ZAM,0,0,0
ZIM,0,0,0
