,nationality,gold_count
6,ARG,21.0
7,ARM,1.0
10,AUS,23.0
12,AZE,1.0
13,BAH,1.0
17,BEL,2.0
23,BLR,1.0
26,BRA,37.0
27,BRN,1.0
33,CAN,4.0
38,CHN,46.0
39,CIV,1.0
43,COL,3.0
47,CRO,7.0
48,CUB,5.0
50,CZE,1.0
51,DEN,15.0
59,ESP,9.0
61,ETH,1.0
62,FIJ,13.0
64,FRA,20.0
68,GBR,64.0
70,GEO,2.0
72,GER,49.0
74,GRE,3.0
83,HUN,12.0
84,INA,2.0
86,IOA,1.0
87,IRI,3.0
93,ITA,8.0
95,JAM,11.0
96,JOR,1.0
97,JPN,17.0
98,KAZ,3.0
99,KEN,6.0
102,KOR,13.0
103,KOS,1.0
135,NED,9.0
141,NZL,6.0
151,POL,3.0
153,PRK,2.0
154,PUR,1.0
157,ROU,4.0
158,RSA,2.0
159,RUS,52.0
165,SIN,1.0
168,SLO,1.0
172,SRB,14.0
177,SUI,6.0
179,SVK,3.0
180,SWE,2.0
185,THA,2.0
186,TJK,1.0
190,TPE,1.0
193,TUR,1.0
197,UKR,2.0
199,USA,139.0
200,UZB,4.0
203,VIE,1.0
